n_activities,n_dependencies,n_dus,n_dps,n_dus_edges,dus_distance_to_end,dataset,instance
22207,51286,157,5080,5038,1.6815286624203822,repo_example,task_rel_1
63907,133396,221,9292,6933,2.0316742081447963,repo_example,task_rel_2
